Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
2211,700 Block PARK AVE,18-03601,PARK CITY,,,03/03/2018 06:57:16 PM,Saturday,11,03/03/2018 11:03:36 AM,Disorderly,835849909,DISORDERLY,40.6465,"{'type': 'Point', 'coordinates': [-111.499, 40.6465]}",-111.499,Disorder,UT,05/10/2018 04:16:24 PM,
2212,PARK AVE & LAME DOG LN,18-03603,PARK CITY,,,03/03/2018 07:33:52 PM,Saturday,12,03/03/2018 12:03:12 PM,Traffic Stop,835853043,TRAFFIC STOP,40.659,"{'type': 'Point', 'coordinates': [-111.508, 40.659]}",-111.508,Vehicle Stop,UT,05/10/2018 04:16:24 PM,
2213,600 Block GILLMOR WAY,18-03602,PARK CITY,,,03/03/2018 07:33:52 PM,Saturday,12,03/03/2018 12:03:39 PM,Non Injury Acci,835853042,NON INJURY ACCI,40.6823,"{'type': 'Point', 'coordinates': [-111.471, 40.6823]}",-111.471,Traffic,UT,05/10/2018 04:16:24 PM,
2214,IRON HORSE DR & BONANZA DR,18-03606,PARK CITY,,,03/03/2018 08:38:39 PM,Saturday,13,03/03/2018 01:03:04 PM,Traffic Stop,835855806,TRAFFIC STOP,40.6593,"{'type': 'Point', 'coordinates': [-111.502, 40.6593]}",-111.502,Vehicle Stop,UT,05/10/2018 04:16:24 PM,
2215,200 Block MAIN ST,18-03613,PARK CITY,,,03/03/2018 10:14:02 PM,Saturday,14,03/03/2018 02:03:26 PM,Non Injury Acci,835858603,NON INJURY ACCI,40.642,"{'type': 'Point', 'coordinates': [-111.495, 40.642]}",-111.495,Traffic,UT,05/10/2018 04:16:24 PM,
2216,1 Block SR224,18-03612,PARK CITY,,,03/03/2018 10:14:02 PM,Saturday,14,03/03/2018 02:03:54 PM,Traffic Stop,835858602,TRAFFIC STOP,40.6247,"{'type': 'Point', 'coordinates': [-111.502, 40.6247]}",-111.502,Vehicle Stop,UT,05/10/2018 04:16:24 PM,
2217,MARSAC AVE & HILLSIDE AVE,18-03614,PARK CITY,,,03/03/2018 11:30:52 PM,Saturday,15,03/03/2018 03:03:18 PM,Traffic Stop,835861017,TRAFFIC STOP,40.6401,"{'type': 'Point', 'coordinates': [-111.493, 40.6401]}",-111.493,Vehicle Stop,UT,05/10/2018 04:16:24 PM,
2218,KEARNS BLVD,16-16693,PARK CITY,,,09/25/2016 07:32:48 AM,Sunday,0,09/25/2016 12:09:16 AM,Traffic Hazard,773913907,TRAFFIC HAZARD,40.6683,"{'type': 'Point', 'coordinates': [-111.487, 40.6683]}",-111.487,Traffic,UT,10/03/2016 03:09:10 AM,
2219,600 Block MAIN ST,16-16695,PARK CITY,,,09/25/2016 07:32:48 AM,Sunday,1,09/25/2016 01:09:58 AM,Disorderly,773913909,DISORDERLY,40.6461,"{'type': 'Point', 'coordinates': [-111.497, 40.6461]}",-111.497,Disorder,UT,10/03/2016 03:09:11 AM,
2220,1 Block SR224,16-16698,PARK CITY,,,09/25/2016 07:32:48 AM,Sunday,2,09/25/2016 02:09:11 AM,Traffic Stop,773913912,TRAFFIC STOP,40.7054,"{'type': 'Point', 'coordinates': [-111.547, 40.7054]}",-111.547,Vehicle Stop,UT,10/03/2016 03:09:11 AM,
2221,2500 Block CREEK DR,19-04272,PARK CITY,,,03/08/2019 01:27:32 AM,Thursday,16,03/07/2019 04:03:23 PM,Keep the Peace,909440057,KEEP THE PEACE,40.6699,"{'type': 'Point', 'coordinates': [-111.511, 40.6699]}",-111.511,Disorder,UT,03/15/2019 05:31:31 AM,
2222,1800 Block KEARNS BLVD,19-04268,PARK CITY,,,03/07/2019 11:37:57 PM,Thursday,16,03/07/2019 04:03:36 PM,Intoxication,909263248,INTOXICATION,40.6659,"{'type': 'Point', 'coordinates': [-111.497, 40.6659]}",-111.497,Liquor,UT,03/15/2019 05:31:30 AM,
